layer_name,type_of_information,old_folder,folder,variable,institution,description,unit,type_of_spatial_data,original_raster_range_values,year_of_original_data,original_pixel_resolution,final_pixel_resolution,extent,primary_or_derived,derived_from,website,source,obtained_through,observations
norut_heather_lowland,landscape,p_RenRein_norut,p_sam_landscape,Land cover: heather in lowland,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_heather_lowland_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: heather in lowland,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_heather_ridges,landscape,p_RenRein_norut,p_sam_landscape,Land cover: heather in ridges,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_heather_ridges_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: heather in ridges,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_heathland,landscape,p_RenRein_norut,p_sam_landscape,Land cover: heathlands,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_heathland_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: heathlands,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_lavskog,landscape,p_RenRein_norut,p_sam_landscape,Land cover: forest with lichens,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_lavskog_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: forest with lichens,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_lichen,landscape,p_RenRein_norut,p_sam_landscape,Land cover: lichens,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_lichen_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: lichens,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_meadows,landscape,p_RenRein_norut,p_sam_landscape,Land cover: meadows,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
norut_meadows_100,landscape,p_RenRein_norut,p_sam_landscape,Land cover: meadows,NA,NA,NA,raster,"0, 1",NA,30,30,Norway,Primary,NA,NA,NA,NINA,NA
norut_myr,landscape,p_RenRein_norut,p_sam_landscape,Land cover: mires,NA,NA,NA,raster,"0, 1",NA,30,100,Norway,Resampled,NORUT land use classes,NA,NA,NINA,NA
